v1.2 String List,v1.2 OpenOOH Enumearation ID,v1.1 OpenOOH Enumeration ID,v1.1 String List
entertainment.recreational.restroom,80105,801,entertainment.recreational
entertainment.movie_theaters,802,802,entertainment.movie_theaters
entertainment.movie_theaters.lobby,80201,80201,entertainment.movie_theaters.lobby
entertainment.movie_theaters.food_court,80202,80202,entertainment.movie_theaters.food_court
entertainment.movie_theater.screen,80203,802,entertainment.movie_theaters
entertainment.movie_theater_restroom,80204,802,entertainment.movie_theaters
entertainment.sports,803,803,entertainment.sports
entertainment.sports.arena,80301,80301,entertainment.sports.arena
entertainment.sports.club_house,80302,80302,entertainment.sports.club_house
entertainment.sports.restroom,80303,803,entertainment.sports
entertainment.bars,804,804,entertainment.bars
entertainment.bars.restroom,80401,804,entertainment.bars
entertainment.casual_dining,805,805,entertainment.casual_dining
entertainment.casual_dining.restroom,80501,805,entertainment.casual_dining
entertainment.qsr,806,806,entertainment.qsr
entertainment.qsr.restroom,80601,806,entertainment.qsr
entertainment.hotels,807,807,entertainment.hotels
entertainment.hotels.lobby,80701,80701,entertainment.hotels.lobby
entertainment.hotels.elevator,80702,80702,entertainment.hotels.elevator
entertainment.hotels.room,80703,80703,entertainment.hotels.room
entertainment.hotels.bar,80704,807,entertainment.hotels
entertainment.hotels.gym,80705,401,health_beauty.gyms
entertainment.hotels.restroom,80706,807,entertainment.hotels
entertainment.golf_cart,808,808,entertainment.golf_carts
entertainment.night_club,809,809,entertainment.night_club
entertainment.night_club.restroom,809,809,entertainment.night_club
entertainment.high_end_dining,810,810,entertainment.high_end_dining
entertainment.casino,811,804,entertainment.bars
entertainment.casino.restroom,81101,804,entertainment.bars
entertainment.convention_center,812,807,entertainment.hotels
entertainment.convention_center.restroom,81201,807,entertainment.hotels
government,9,9,government
government.dmv,901,901,government.dmv
government.military_bases,902,902,government.military_bases
government.postal,903,903,government.postal
government.first_responder_facility,904,9,government
financial,10,10,financial
financial.banks,1001,1001,financial.banks
residential,11,11,residential
residential.apartment_buildings,1101,1101,residential.apartment_buildings
residential.apartment_buildings.lobby,110101,110101,residential.apartment_buildings.lobby
residential.apartment_buildings.elevator,110102,110102,residential.apartment_buildings.elevator
residential.apartment_buildings.gym,110103,401,health_beauty.gyms
